UNIDADE;ANO;SEMESTRE;CURSO;PERIODO;TURMA;DATA INICIO;DATA TERMINO;DISCIPLINA;TURNO;DIA SEMANA;HORÁRIO;SALA;PROFESSOR
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO;6º Semestre;ADM6N26/1 ;02/03/2026;18/07/2026;Métodos e Técnicas de Pesquisa;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;ONLINE;JOZILDA BERENICE CANDIDO FOGACA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO;7º Semestre;ADM7N26/1 ;02/03/2026;18/07/2026;Prática Profissional II - Consultoria Organizacional;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;412;SANDRO CELESTINO DA ROSA WOLLENHAUPT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO;7º Semestre;ADM7N26/1A;02/03/2026;18/07/2026;Trabalho de Conclusão de Curso I;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;ONLINE;JACQUELINE DOS SANTOS ZAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO;8º Semestre;TUT8M26/1S;02/03/2026;18/07/2026;Trabalho de Conclusão de Curso II;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM CIÊNCIAS CONTÁBEIS;3º Semestre;TUT3N26/1 ;02/03/2026;18/07/2026;Legislação Profissional Contábil;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;303;PAULO EDUARDO ROSSELLI WUNSCH
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM CIÊNCIAS CONTÁBEIS;8º Semestre;TUT8M26/1A;02/03/2026;18/07/2026;Trabalho de Conclusão de Curso II;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;GLAUCILENE PEDROSO TRAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE BACHARELADO EM CIÊNCIAS CONTÁBEIS;8º Semestre;TUT8N26/1 ;02/03/2026;18/07/2026;Contabilidade Avançada;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;303;PAULO EDUARDO ROSSELLI WUNSCH
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1M26/1 ;02/03/2026;18/07/2026;Desenvolvimento de Interfaces para Web;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;601;ROBERTO DOS SANTOS OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1M26/1 ;02/03/2026;18/07/2026;Fundamentos Computacionais;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;505;MAGDA LEYSER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1M26/1 ;02/03/2026;18/07/2026;Lógica de Programação;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;601;IVONEI DA SILVA MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1M26/1 ;02/03/2026;18/07/2026;Sistemas Operacionais;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;601;RAFAEL DE JESUS REHM
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1 ;02/03/2026;18/07/2026;Desenvolvimento de Interfaces para Web;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;704;ROMULO REIS DE OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1 ;02/03/2026;18/07/2026;Fundamentos Computacionais;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;505;MAGDA LEYSER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1 ;02/03/2026;18/07/2026;Lógica de Programação;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;601;IVONEI DA SILVA MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1 ;02/03/2026;18/07/2026;Sistemas Operacionais;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;701;LUCAS GABRIEL FERREIRA ALVES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1A;02/03/2026;18/07/2026;Fundamentos Computacionais;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;505;MAGDA LEYSER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1º Semestre;ADS1N26/1A;02/03/2026;18/07/2026;Lógica de Programação;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;603;FABIO GIULIAN MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2M26/1 ;02/03/2026;18/07/2026;Banco de Dados I;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;504;LUIS FERNANDES VAZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2M26/1 ;02/03/2026;18/07/2026;Desenvolvimento Web para Dispositivos Móveis;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;701;ROBERTO DOS SANTOS OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2M26/1 ;02/03/2026;18/07/2026;Engenharia de Software I;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;ONLINE;ROBERTO ZANONI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2M26/1 ;02/03/2026;18/07/2026;Programação Orientada a Objetos;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;602;FABIO GIULIAN MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2M26/1 ;02/03/2026;18/07/2026;Programação Web;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;602;ROBERTO DOS SANTOS OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2N26/1 ;02/03/2026;18/07/2026;Banco de Dados I;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;601;RAFAEL GASTAO COIMBRA FERREIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2N26/1 ;02/03/2026;18/07/2026;Desenvolvimento Web para Dispositivos Móveis;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;701;ROMULO REIS DE OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2N26/1 ;02/03/2026;18/07/2026;Programação Orientada a Objetos;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;601;IVONEI DA SILVA MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2N26/1 ;02/03/2026;18/07/2026;Programação Web;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;703;ROBERTO DOS SANTOS OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2º Semestre;ADS2N26/1A;02/03/2026;18/07/2026;Banco de Dados I;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;310;LUCAS GABRIEL FERREIRA ALVES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1 ;02/03/2026;18/07/2026;Algoritmos e Estruturas de Dados I;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;701;ADALTO SELAU SPARREMBERGER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1 ;02/03/2026;18/07/2026;Banco de Dados II;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;504;LUIS FERNANDES VAZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1 ;02/03/2026;18/07/2026;Desenvolvimento de Serviços e APIs;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;604;ADALTO SELAU SPARREMBERGER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1 ;02/03/2026;18/07/2026;Engenharia de Software II;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;504;MARCIO PAIVA DA MOTTA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1A;02/03/2026;18/07/2026;Ética, Cidadania e Sustentabilidade;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;JOZILDA BERENICE CANDIDO FOGACA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3M26/1S;02/03/2026;18/07/2026;Ética, Cidadania e Sustentabilidade;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;ROBERTO ZANONI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3N26/1 ;02/03/2026;18/07/2026;Algoritmos e Estruturas de Dados I;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;603;ADALTO SELAU SPARREMBERGER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3N26/1 ;02/03/2026;18/07/2026;Banco de Dados II;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;504;RAFAEL GASTAO COIMBRA FERREIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3N26/1 ;02/03/2026;18/07/2026;Desenvolvimento de Serviços e APIs;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;504;LUIS HENRIQUE LEAL RIES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;3º Semestre;ADS3N26/1 ;02/03/2026;18/07/2026;Engenharia de Software II;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;504;FABIO GIULIAN MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4º Semestre;ADS4M26/1 ;02/03/2026;18/07/2026;Gestão Ágil de Projetos;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;503;RUI GUREGHIAN SCARINCI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4º Semestre;ADS4M26/1 ;02/03/2026;18/07/2026;Programação Full Stack;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;603;ADALTO SELAU SPARREMBERGER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4º Semestre;ADS4N26/1 ;02/03/2026;18/07/2026;Algoritmos e Estruturas de Dados II;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;702;IVONEI DA SILVA MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4º Semestre;ADS4N26/1 ;02/03/2026;18/07/2026;Gestão Ágil de Projetos;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;503;RUI GUREGHIAN SCARINCI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4º Semestre;ADS4N26/1 ;02/03/2026;18/07/2026;Programação Full Stack;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;503;LUIS HENRIQUE LEAL RIES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5M26/1 ;02/03/2026;18/07/2026;Frameworks Web;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;503;MARCIO PAIVA DA MOTTA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5M26/1 ;02/03/2026;18/07/2026;Inteligência Artificial;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;701;VITOR HUGO DA SILVA LOPES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5M26/1 ;02/03/2026;18/07/2026;Projeto de Desenvolvimento I;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;604;LUCIANO ZANUZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5M26/1C;02/03/2026;18/07/2026;Qualidade de Software;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;ONLINE;LUCIANO ZANUZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5N26/1 ;02/03/2026;18/07/2026;Frameworks Web;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;701;LUIS HENRIQUE LEAL RIES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5N26/1 ;02/03/2026;18/07/2026;Inteligência Artificial;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;701;VITOR HUGO DA SILVA LOPES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5N26/1 ;02/03/2026;18/07/2026;Projeto de Desenvolvimento I;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;604;LUCIANO ZANUZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5º Semestre;ADS5N26/1C;02/03/2026;18/07/2026;Qualidade de Software;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;ONLINE;LUCIANO ZANUZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6M26/1 ;02/03/2026;18/07/2026;Projeto de Desenvolvimento II;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;ONLINE;ROBERTO ZANONI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6M26/1 ;02/03/2026;18/07/2026;Tópicos Avançados em Tecnologia;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;ONLINE;RAFAEL DE JESUS REHM
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6N26/1 ;02/03/2026;18/07/2026;Internet das Coisas - IoT;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;503;RAFAEL DE JESUS REHM
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6N26/1 ;02/03/2026;18/07/2026;Projeto de Desenvolvimento II;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;LUCIANO ZANUZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6N26/1 ;02/03/2026;18/07/2026;Tópicos Avançados em Tecnologia;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;ONLINE;RAFAEL DE JESUS REHM
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6º Semestre;ADS6N26/1A;02/03/2026;18/07/2026;Projeto de Desenvolvimento II;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;LUIS FERNANDES VAZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM CIÊNCIA DE DADOS E INTELIGÊNCIA ANALÍTICA;1º Semestre;TUT1N26/1 ;02/03/2026;18/07/2026;Análise de Dados e Inteligência Empresarial;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;310;LUIS FERNANDES VAZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;1º Semestre;DM1M26/1  ;02/03/2026;18/07/2026;Confecção I;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;208;LIVIA ACCIOLY MENEZES DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;1º Semestre;DM1M26/1  ;02/03/2026;18/07/2026;Desenho Básico;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;206;MARIOARA GRALHA FEIJO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;1º Semestre;DM1M26/1  ;02/03/2026;18/07/2026;História da Moda;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;ONLINE;CRISTIANO DA CUNHA PEREIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;1º Semestre;DM1M26/1  ;02/03/2026;18/07/2026;Modelagem I;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;207;LIVIA ACCIOLY MENEZES DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;1º Semestre;DM1M26/1  ;02/03/2026;18/07/2026;Produção de Moda;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;206;NICELE DE DAVID BRANDA
